url,http_status,title,meta_description,h1,word_count_est,canonical,indexable,page_type
https://www.prayerhouseministryintl.org/,200,Church in Limbe Cameroon | PHMI Solution Center,Join Prayer House Ministry International (Solution Center) in Mile 4 Limbe,Raising Lives Through Prayer Worship & The Word,1200,https://www.prayerhouseministryintl.org/,yes,Homepage
https://www.prayerhouseministryintl.org/about,200,About Our Church in Limbe | PHMI Solution Center,Vision mission history and leadership,About Prayer House Ministry International,900,https://www.prayerhouseministryintl.org/about,yes,About
https://www.prayerhouseministryintl.org/visit,200,Plan Your Visit to Limbe | PHMI Solution Center,Directions and first-time guest guidance,Plan Your Visit,800,https://www.prayerhouseministryintl.org/visit,yes,Landing
https://www.prayerhouseministryintl.org/ministries,200,Church Ministries in Limbe | PHMI Solution Center,Six ministry arms,Our Ministries,700,https://www.prayerhouseministryintl.org/ministries,yes,Service
https://www.prayerhouseministryintl.org/sermons,200,Sermons from Solution Center | PHMI Solution Center,Watch messages from the Limbe pulpit,Sermons & Messages,400,https://www.prayerhouseministryintl.org/sermons,yes,Hub
https://www.prayerhouseministryintl.org/events,200,Church Events in Limbe | PHMI Solution Center,Upcoming services and conferences,Upcoming Events,400,https://www.prayerhouseministryintl.org/events,yes,Hub
https://www.prayerhouseministryintl.org/gallery,200,Church Photo Gallery | PHMI Solution Center,Photos from worship and outreach,Our Gallery,200,https://www.prayerhouseministryintl.org/gallery,yes,Gallery
https://www.prayerhouseministryintl.org/contact,200,Contact the Church in Limbe | PHMI Solution Center,NAP and contact form,Contact Solution Center,500,https://www.prayerhouseministryintl.org/contact,yes,Contact
https://www.prayerhouseministryintl.org/blog,200,Christian Blog & Devotionals | PHMI Solution Center,Devotionals and teaching,Blog & Devotionals,400,https://www.prayerhouseministryintl.org/blog,yes,Blog index
https://www.prayerhouseministryintl.org/faq,200,Church FAQ — Limbe Services | PHMI Solution Center,Service times location prayer,Frequently Asked Questions,900,https://www.prayerhouseministryintl.org/faq,yes,FAQ
https://www.prayerhouseministryintl.org/glossary,200,Church Glossary — Prophetic Terms | PHMI Solution Center,Definitions of ministry terms,Ministry Glossary,1100,https://www.prayerhouseministryintl.org/glossary,yes,Glossary
https://www.prayerhouseministryintl.org/admin/login,200,Admin | PHMI Solution Center,n/a,n/a,100,n/a,no,Admin
